repeat_id,index_type,N,d,metric,topk,nq,threads,hnsw_M,hnsw_efC,hnsw_efS,build_s,search_s,qps,avg_ms_per_q,p50_ms,p95_ms,p99_ms,recall_at_k,index_bytes
0,hnsw,5000,96,l2,10,1000,32,16,100,640,0.608694,0.281705,3549.811,0.282,1.181,1.711,2.168,0.999600,2639578
0,hnsw,5000,96,l2,10,1000,32,16,100,768,0.659155,0.356748,2803.101,0.357,1.522,2.503,21.618,0.999200,2639578
0,hnsw,5000,96,l2,10,1000,32,32,100,64,0.453771,0.034881,28668.661,0.035,0.185,0.200,8.523,0.967800,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,128,0.382192,0.067121,14898.399,0.067,0.327,0.369,8.789,0.993600,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,256,0.457601,0.097673,10238.207,0.098,0.599,0.981,8.432,0.999200,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,384,0.471017,0.133190,7508.083,0.133,0.750,1.481,9.609,0.999900,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,512,0.548980,0.193535,5167.013,0.194,0.916,5.589,9.865,1.000000,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,640,0.534726,0.274087,3648.473,0.274,1.230,1.917,21.912,1.000000,3277250
0,hnsw,5000,96,l2,10,1000,32,32,100,768,0.557739,0.347075,2881.224,0.347,1.732,10.711,10.858,1.000000,3277250
1,flat,5000,96,l2,10,1000,32,,,,0.000746,0.026485,37757.630,0.026,0.213,0.220,0.223,1.000000,1920045
1,hnsw,5000,96,l2,10,1000,32,16,100,64,0.478416,0.038818,25761.278,0.039,0.139,0.151,0.276,0.918400,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,128,0.595133,0.046661,21431.264,0.047,0.267,0.332,9.350,0.977800,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,256,0.573542,0.087193,11468.795,0.087,0.406,0.676,24.701,0.995900,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,384,0.481054,0.178773,5593.677,0.179,0.623,1.094,17.694,0.998000,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,512,0.508008,0.197107,5073.392,0.197,0.895,6.439,13.717,0.998800,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,640,0.382414,0.247734,4036.584,0.248,1.191,1.768,17.732,0.999500,2639578
1,hnsw,5000,96,l2,10,1000,32,16,100,768,0.494251,0.376758,2654.223,0.377,1.588,6.113,10.978,0.999600,2639578
